label,narrative
Human Factors,F/A (Flight Attendant) reported inoperative reading light en route to ZZZ. ACARS message sent en route for MX assistance upon arrival. Company Mechanic evaluated and determined problem was not light but light switch and communicated need for deferral. Mechanic departed with logbook and subsequently returned with logbook indicating deferral and placed white sticker in appropriate place. Dispatch sent ACARS message to have Captain call for obligatory conference call with MX Control regarding deferral of this inconsequential writeup. During this effort; ZZZ Supervisor verbally asked if we were aware HAZMAT in the form or radioactive pharmaceuticals were being loaded. With F/O (First Officer) attentive to this conversation; I (Captain) confirmed with Supervisor that a HAZMAT declaration would be brought for my signature.As both the F/O and I were busy preparing the flight deck for the next leg; and simultaneously attempting to eat our dinners; I called Dispatch for the required conference call. While the Dispatcher was aware of the MEL number (25-XX-XX); his system did not reflect the nature of the deferral. This MEL covers a myriad of non-essential cabin items. As a result; I had to read the actual discrepancy to the Dispatcher for him to be informed about the issue. The conference call (as usual) was neither informative nor helpful. It was purely a requirement that fulfilled (in this case) no need.After the conference call; the Dispatcher; upon my request; patched in a Chief Pilot on Call to discuss the need for relief of this requirement and how it only creates an additive condition with no benefit to the Flight Crew (only an additional administrative requirement). Upon completion of this discussion; the takeoff data came through ACARS; and we proceeded to complete checklists and review performance data. Takeoff and climb out were uneventful; and en route Dispatch sent an ACARS indicating I had failed to sign the required HAZMAT declaration.
Aircraft,Was on approach into ZZZ at about midnight after about an hour delay getting out of ZZZ1. The approach had been through layers of icing and precipitation ranging from light to heavy. We were given a heading to intercept and cleared ILS [Runway] XXL at 2;500 feet. ATIS winds were 110/10. The CA (Captain) configured as normal and spun the speed back to target of 150 kts. (145 + 5). We were in heavy winds and rain at this point with no forward visibility. Tower reported winds at ~20020G35. The jet was now fully configured; all anti ice on; on glide slope and the automation was attempting to keep the speed at 150. I was just saying how we needed to add 10 knots when the jet bounced and the stick shaker went off. I did not note the speed but the CA pushed the throttles up and I spun the speed to 160. No upset call was made but the quick throttle advancement corrected the speed. It was about this time that the CA said he no longer had an ILS and his FD (Flight Director) was gone. I still had one at the time but it then went out. He announced a Go-Around and we climbed up to 5;000 feet. The automation was reestablished and we talked about the winds and divert. We figured we had 16 minutes before heading to ZZZ2. ZZZ decided to change runways to XYR and we were given short vectors back around. We agreed we were ready and made the approach. On the approach the same thing happened where the CA FD dropped and the jet went into CWS (Control Wheel Steering) at about 2;000 feet. Mine was still available and the CA transferred the aircraft to me. About that time mine was lost as well. The visibility was better on the XYR approach despite the heavy rain and winds. We could make out the runway so the CA took back the jet and made the approach visually. During the visual I recycled the FD which eventually brought back the FD and ILS before touchdown.
Human Factors,Due to wake turbulence from a preceding aircraft and prevailing winds we elected to offset two miles to the left of track to keep us clear of the moderate turbulence. I had forgotten that SLOPing left of course is not authorized per the FOM. Sometime later; while I was on break; Gander Oceanic queried us as to why we were showing left of course and the Relief Pilot and First Officer corrected the error and returned to the center of the track. (SLOPing right of course would've put us back into the wake turbulence.)
Aircraft,Taxied out to Runway XX at ZZZ as planned and briefed. Nearing departure end we got an Eng 2 Reverser fault. Stopped and reviewed QRC. Nothing for on ground event noted. Called Maintenance Control. Decided to taxi back to ramp to clear taxiway and work issue. Taxied via Runway XX and exited at Taxiway XX. Parked on south side of Deice Ramp. Maintenance Control directed to start APU. Captain set brakes and we started APU. Upon direction from Maintenance Control; we shut down both motors. Captain stood up to check circuit breaker panel. CB at N41 on 121 VU panel was popped; labeled Engine 2 Oil Quantity Sensor Channel B.Upon Maintenance Control direction; we reset circuit breaker. We were directed to restart engines and report back. Started Engine 1. At 50% N2 the FO (First Officer) started Engine 2. Normal indications; when radio call reported engine fire on right side. FO looked right and saw some smoke blowing past the right window. Then the fire alarm and ECAM illuminated. FO looked up to verify indication and pointed to ECAM screen. Started to read the first step and alarm stopped and ECAM went away. Radio call reported sparks from bottom of Engine 2. There was a momentary alarm bell again and then it went away. Fire loop fault appeared and FO shut down motor with Master Engine switch. No other indications of fire noted. Airport CTAF called fire department. Crew stayed on phone with Maintenance and fire department reported a burn-through on the cowling and scorching on the cowling. Crew elected to taxi to Parking with fire department concurrence. Shutdown went normal. Passengers deplaned via air stairs. Normal checklists completed.
Procedure,We had to do a go-around at MMMX Runway 5R from about 500 AGL. The preceding airplane missed a turn-off. The go-around and missed were flown manually and without event. Once the airplane was turned away from terrain we reset automation; ran checklists; etc.I bring this up because the Tower issued us an immediate 30-degree right turn. This aims the airplane toward rapidly rising terrain and takes it off the missed approach course. Radios are saturated at MMMX and there are language considerations. This worked out fine. There's potential for a crew to be confused; aimed at terrain; and low. Maybe include this in videos or other products? Since we're opening an Aircraft X base; it's conceivable that Aircraft X crews will see MMMX with more regularity. Of course; there's an argument to do nothing too. Are any of these factors different from any other missed approach briefing anywhere else? My job isn't to make those decisions; but to bring these factors up to the attention of appropriate parties.
Aircraft,After landing and clearing the runway; Flight Attendants in the aft cabin called up to state there was a strong smell of a chemical similar to bleach; that their eyes were burning and they had put on their portable O2 masks. After a very short conversation with the Captain we agreed we would tell ZZZ ground we needed to go to a gate now; and to roll [support] vehicles. At the same time; I notified Operations of our situation. we completed associated procedures; (quick action; QRH etc). Upon gate arrival; the Fire Department stated they found volatile organic compounds in the [passenger cabin] air but that they were dissipating. Once off the airplane; we gathered as a crew and followed the fume event form on the Ipad. Then we went on to operate our next flight.[Reported stated cause] had to be either an aircraft maintenance issue or something that was spilled in the passenger compartment or possibly the cargo compartment.Since I don't know the exact cause; its difficult to have prevention suggestions.
Aircraft,During pre-flight in heavy snow and wind; the APU generator dropped off line; and became available again within about 10 seconds. This happened twice; about ten minutes apart. Also; the APU bleed air pressure dropped to lower than usual; then recovered about 30 seconds later. We advised maintenance; the mechanics checked our plane (737 MAX) and the 737 MAX on another gate; and informed us that the APU does that in heavy snow; likely due to snow entering the inlet door. The APU was operating normally. We planned to start one engine at gate (to keep ground power available; just in case APU dropped offline; similar to starting without an APU).  Flight eventually cancelled due to weather; we did not ever start an engine or leave the gate. If this is a known issue to the local mechanics; it should be in our manuals; or the problem should be addressed in some way. The APU is operating normally; but if the power can drop offline due to snow; that could be very problematic during pushback and engine start in snowy conditions; and potentially a safety issue if the aircraft is effectively stranded after pushback with only battery power in snowy conditions.  Our plan to start one engine at the gate with ground power available would be a proposed workaround; but that should probably be codified somewhere. Filing to indicate a potential safety issue.
Aircraft,Upon reaching cruise altitude of FL 340; we noticed a growing fuel imbalance between the main fuel tanks (no fuel in the center tank). As the left main tank quantity was decreasing more rapidly than the right; I had the FO (First Officer) go to the cabin for a visual inspection of the area around the left engine. He returned to the flight deck and reported nothing unusual. All other flight deck switches and indications were normal.Given the rate of the growing imbalance; approaching 700 lbs less in the left versus right tank; we decided to commence the Fuel Imbalance QRH checklist. As the checklist would direct a shutdown of the #1 engine; we requested priority handling with Center and began a diversion to ZZZ. We completed the checklist as we descended; accomplished a single-engine landing; and proceeded to the gate otherwise uneventfully.
Procedure,Flight took off at XA32Z and was on departure from Miami International airport; with the First Officer (FO) flying and the Captain (CA) operating as Pilot Monitoring (PM). The flight was given a 090 heading on departure until 2000 ft. when Departure Control (Frequency 119.45) directed a vector to the North and cleared the flight to climb to 7;000 ft. At XA35Z; the flight was level at 7;000 ft. in Instrument Meteorological Conditions (IMC) and Departure Control ordered 'Turn right to 090'. Read back the radio call and began an immediate right turn. While turning; Departure advised there was another aircraft somewhere at 11 o'clock and 1000 ft. below Aircraft X (which was unseen because of IMC). Immediately after making the traffic call; at XA36Z; Departure Control ordered an 'Immediate Left turn to 070'. Aircraft X rolled from a right hand turn into a left hand turn and attempted to comply; while the CA read back the instructions. While attempting to comply; just as the turn was reversing; Aircraft X was approximately over the KR66U fix and received a RESOLUTION ADVISORY (RA) that stated 'DESCEND!; DESCEND!'. The FO expeditiously put the aircraft in the RA window on the display; and correctly executed the RA maneuvers. The CA broadcast our RA compliance on frequency 119.45 and the TCAS indicated a contact immediately off our nose at our exact altitude. As Aircraft X descended through 6;850 ft. (shortly after the RA maneuver began); the TCAS aural alert 'Clear of contact' announced. The CA then transmitted to Miami's Departure in Frequency 119.45 that we were clear of contact and able to return to the 7;000 ft. and 070 heading as ordered. At this time; Departure cleared Aircraft X to climb and gave another course correction to a 090 heading. The flight continued without further incident. ATC vectored us into a near miss with another aircraft. Review routing/congestion issues in Miami Departure Control.
Aircraft,While in cruise flight at FL390; we experienced an uncommanded altitude climb. The auto pilot was engaged at the time. There was no master caution or warning alert. The aircraft felt as if it were kicked and pitched up abruptly. I immediately disconnected the autopilot stating my aircraft. A review of the ECAM revealed ELAC 2 fault. My First Officer had indicated when he arrived to the flight that he was relatively new to the Airbus. I elected in this regard to have him do the ECAM procedure rather than attempt to hand fly at FL390. The flow indicated reset but had the words ON THE GROUND ONLY. No reset was attempted. We notified Dispatch via ACARS and the station upon landing that there was a write up in the book. Dispatch replied with a question of if it were one or both ELACs. The flight attendants all said they felt the kick I mentioned earlier in this report. They also indicated that several passengers expressed concerns. The auto pilot was re engaged and the aircraft was flown into ZZZ without further incident. This was a case of a system malfunction thus no causal factors that I can think of exists.
Aircraft,During cruise at FL320 we got a brief Avionics Smoke indication that lasted approximately 3-5 seconds and extinguished. Following that indication approximately 2 minutes later the indication occurred a second time and remained indicated. We complied with the ECAM and QRH. Despite no visible smoke or smell we treated the indication as a valid indication and donned O2 masks and requested priority handling. We proceeded to ZZZ and landed on RWY XY. Fire trucks found no fire indication and we proceeded to taxi into [the gate]. Maintenance indicated after block in that the aircraft had suffered water intrusion days earlier and that they believed something in the avionics bay possibly shorted out causing the Avionics Smoke indication.
Aircraft,During push back the APU AUTO SHUTDOWN. Attempted a restart from the APU Panel. During attempted restart push back crew reported an APU FIRE. No indications in the cockpit. Complied with PHASE 1 and fired the #1 fire bottle. Ground crew reported fire extinguished. Complied with the rest of the QRH procedure and was tugged back into the gate.
Airport,Very short taxi to [Runway] 8L in Ontario so we had discussed and ran before takeoff checklist down to the line before leaving ramp. As we approached 8L I had called Tower and let them know we were ready for departure. If I remember they briefly told us to hold short awaiting IFR clearance and then it was just a couple seconds later she cleared us for takeoff on Runway 8L. The Captain was taxiing the aircraft into position as I was running the before takeoff checklist. As the airplane was just getting aligned with centerline the Captain mentioned he thought there was something on the runway. I was actually looking towards the far end of the runway to see if I could see any type of strobes or lighting as it was night time. It was once we had all the aircraft lights on that we could clearly see a van parked broadsided right on the middle of the runway about 1;000 feet in front of us or so. I had not yet called before takeoff checklist complete or verbally mentioned Runway 8L verified before the Captain had noticed something on the runway. No takeoff power was added or anything like that. I called the Tower to let them know there was a vehicle on the runway and the controller seemed very surprised. The controller cancelled our takeoff clearance and gave us a clearance to line up and wait. Controller then began communicating with FAA ground vehicles to try and get a hold of whomever was on the runway. Controller was unable to contact vehicle on the runway but was able to get a nearby airborne helicopter to hover over the vehicle and use a spotlight and or loud speaker to alert the personnel on the ground. We saw the ground personnel then run over to the vehicle; hop in; and drive off. The tower controller then had another FAA vehicle do a runway inspection the length of the runway and verify that everything was clear of the runway. Once the runway was verified to be clear we were once again cleared for takeoff. We ran the before takeoff checklist below the line again as it had been several minutes since our initial takeoff clearance. We departed ONT without further incident. The controller was very apologetic about the issue. Not sure exactly what happened or where the breakdown was that allowed the vehicle onto the runway without the controller's knowledge. It would have been very very difficult for controller to see the vehicle on the runway from the tower.Some type of breakdown in communication between FAA Ops vehicle/operator and Control Tower. The controller mentioned to us that the vehicle had not been authorized to be on the runway. I believe the operator had been out on the runway changing lights possibly? I do know the vehicle was running though and there was not anybody in the vehicle. Not exactly sure how/why vehicle had gotten out onto the active runway without authorization. Better communication/procedures between Ground Ops/Tower. I also think that if you're going to have vehicles like that on the runway; especially at night; they should be required to have some sort of strobe or beacon light. The vehicle was honestly very hard to see before all of our aircraft lights were on. If the vehicle had been further down the runway; I'm not sure we would have noticed it before we began the takeoff roll.
Weather,XA:30 engine start. Taxi instructions [Taxiway] XX; cross Runway XX; left on [Taxiway] XY. I performed a brake check while taxiing on [Taxiway] XX. Brakes were good. Crossed runway and turned left on [Taxiway] XY. Advanced power to accelerate a bit in order to do another brake check on Taxiway XY. I applied the brakes and could feel pressure; but had poor braking action which was very alarming because we just had good action not 5 minutes beforehand. I was left literally speechless...at that point I realized I had left the power up and immediately brought power to idle; released brakes fully and then rapidly applied brakes; to good effect....and then the brakes gave way again to poor braking action. By this time the bend in the taxiway was approaching; I released brakes and reapplied brakes; again to good effect initially; and then nothing....I brought the tiller around to try and make the turn; no effect; Immediately centered the tiller; rev thrust; and accepted the 'off'. I was able to steer with the tiller and gently brought the plane back up onto the taxiway fully. Set the parking brake. Called for help. Towed back to the line.Rapidly deteriorating conditions at the airfield due to a sudden drop in temperatures coupled with freezing precipitation. Taxiways were only chemically treated and the sand truck had not been down Taxiway XY yet; I did not know this at the time we were taxiing. Obviously I was taxiing too fast for conditions.Obviously a slower taxi speed was warranted. Conditions were deteriorating rapidly; I should have confirmed with Ground about the status of ground efforts to treat the runways and taxiways. Slowing down the tempo of operations would have also helped. My FO (First Officer)and I talked about everything that we were doing and we both felt comfortable as we were proceeding. It wasn't until we were on Taxiway XY that things went badly; and quickly.
Aircraft,Level at FL360; I heard a loud bang sound and felt a strong jolt in my feet. While looking to troubleshoot the issue; the Captain noticed my right side window was shattering. I looked over in time to see the cracking continuing. The Captain directed me to the Window Shattered QRH. I pulled the paper CRJ 700 QRH from the center console location and proceeded to follow it. On examination of of the window; we noted a new cold airflow from the right forward upper portion of the shattered window and cabin rate increasing. We could not achieve the required PSID (Per Square Inches Differential) in our initial or subsequent descent before the Cabin ALT caution and subsequent warning sounded. The Captain directed we don oxygen masks and [advised ATC] due to ATC not wanting us to descend further. At a lower altitude; around 10;000 feet; I switched to the QRH Manual Pressurization Control Procedure to attempt to regain control of cabin pressurization. At this point pressurization was stable and we coordinated removing our oxygen masks. The Captain checked with our flight attendants for any injuries or medical needs; of which there were none. He advised Dispatch of our diversion to ZZZ. We reviewed our steps; continued the QRH and descended to 8;000 feet. The subsequent approach; landing; and gate parking were uneventful.
Procedure,I along with Name were tasked to tow Aircraft X from Gate X to the hangar with the Supertug. ZZZ FAA Ground Controller clear us from the hangar via Taxiway 1 ALPHA cross RWY XX-XY on to BRAVO and hold short of MIKE taxiway. There Name contacted Company ramp control for clearance to Gate X. Company Ramp Control then cleared us from are holding position on taxiway BRAVO to Gate X. Supertug 1 started to proceed Name (radio / safety) told me to stop as a regional jet was passing in front of us on taxiway MIKE (left to right). I was blinded by the large flood lights set up in in the cart corral this impaired my line sign sight of a passing AC on taxiway MIKE. Company Ramp control did warn Supertug 1 of the passing regional jet.Lack of Company Ramp Control knowing position of aircraft on taxiways. Flood lights causing vision issues at that taxiway intersection.Return taxiways MIKE and BRAVO to FAA controlled area
Human Factors,On Date at approximately XA:50 while working a trip as the First Officer and Pilot Monitoring from ZZZ to HPN; The Captain had an unstable approach going full deflection on the glide slope. During the approach into HPN; we were in IMC conditions. We were given the ILS 16. ATC vectored us onto the approach where the Captain armed the approach for an ILS 16. Continuing inbound the auto pilot did not capture the approach at that time. The Captain noticed the ILS was not captured; the LOC nor Glide Slope. I asked The Captain if we should perform a go around; he told me no. He tried to correct it by pressing V/S and manually putting our required descent rate in. This did not seem to work so the Captain discontinued the autopilot. The Captain proceeded to disconnect the autopilot in order to hand fly the aircraft to get it re-established on the approach. As he continued we ended up going full deflection on the glide slope. At approximately 750ft MSL and 2NM from 16 runways threshold. Tower advised we were not on the LOC and asked us if we had the correct altimeter in; which we did. Ceilings were at 400ft and visibility was around 1600ft. The tower advised we were low and we needed to go around. I advised the tower we were going around. As we initiated the go around we got a GPWS warning. We were given an assigned heading and altitude during the go around. The Captain may have exceeded airspeed limits in the D airspace going approximately 250knots before slowing. We performed the go around safely and completed checklists. We were able to get vectored back around to shoot the approach again. We loaded the ILS 16 and shot the approach for the second time. We loaded the approach which then activated properly following the localizer and glide slope. We were able to get out of IMC conditions before minimums and had sight of the Runway. The Captain disconnected the autopilot and landed the aircraft safely at HPN.
Aircraft,When the Captain advanced the throttle levers prior to the Before Takeoff Checklist; the takeoff warning horn sounded and the associated warning light illuminated. We stopped the aircraft and began looking for any configuration error that could be causing the light to go off. We looked all over the flight deck; including the overhead panel; and could find nothing out of place or anything that would trigger this horn and light. It was a flaps 1 takeoff and they were at 1 and showed 1. The trim was properly set at between 5 and 6 to my recollection. The speed brake was down and stowed; and we checked it; jiggled it; it was definitely where it was supposed to be. All the door lights were out as well as the PSEU (Proximity Switch Electronics Unit) light.I had flown the airplane once that day and had no issues at all; so we put the flaps back up; waited a beat; and then reset the flaps to 1. The Captain then performed another throttle burst. We could not get the warning horn or the light to go off this time. We re-checked the configuration and probably did two handfuls of throttle bursts to make sure; and we could not get the issue to repeat itself. The airplane appeared fine. We continued our taxi and received our lineup and wait clearance and eventual take off clearance. It was the Captain's takeoff and the takeoff roll was normal. V1 was 132 knots. At 125 knots I was opening my mouth to call V1 as the aircraft continued accelerating; and at that very instant; the warning horn and light went off. The Captain performed the RTO per the QRH. After completing this; we then pulled the brake cooling data from the performance system; and it said we could return to the gate and required 50 minutes of brake cooling. We gave all the information to Maintenance and called Dispatch and Maintenance Control.
